date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
20.07.2019 15:00,25.9,745.6,755.5,-0.3,45,"Ветер, дующий с западо-юго-запада",2,,,70 – 80%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,300-600,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые плотные, образовавшиеся от кучево-дождевых.",10.0,13.1,,,,,,
20.07.2019 12:00,23.3,745.9,755.8,0.1,60,"Ветер, дующий с юго-юго-запада",2,,,70 – 80%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,300-600,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.",10.0,15.0,,,,,,
20.07.2019 09:00,20.6,745.8,755.8,-0.1,74,"Ветер, дующий с юга",2,,,70 – 80%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",40%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.",10.0,15.8,,,,,,
20.07.2019 06:00,15.9,745.9,756.1,0.3,90,"Ветер, дующий с юго-юго-запада",2,,,100%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,12.9,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",60%.,300-600,"Высококучевые просвечивающие, расположенные на одном уровне.",,10.0,14.3,Следы осадков,12,Поверхность почвы влажная.,13.0,,
20.07.2019 03:00,15.2,745.6,755.8,-0.2,85,"Ветер, дующий с юго-юго-востока",1,,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",40%.,600-1000,"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,12.6,,,,,,
20.07.2019 00:00,14.0,745.8,756.1,-0.1,88,"Ветер, дующий с юга",1,,,70 – 80%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","10%  или менее, но не 0",600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,12.0,,,,,,
19.07.2019 21:00,18.3,745.9,756.1,-0.1,66,"Ветер, дующий с востоко-юго-востока",1,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",50%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,11.9,,,,,,
19.07.2019 18:00,23.1,746.0,756.0,-0.3,45,"Штиль, безветрие",0,,,70 – 80%., ,,,,24.0,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.","Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.",10.0,10.5,Осадков нет,12,,,,
19.07.2019 15:00,21.3,746.3,756.4,-0.6,57,"Ветер, дующий с северо-востока",1,,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,12.5,,,,,,
19.07.2019 12:00,17.7,746.9,757.1,-0.7,67,"Ветер, дующий с востоко-юго-востока",2,,,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,11.4,,,,,,
19.07.2019 09:00,15.2,747.6,757.9,-0.8,74,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",60%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,10.6,,,,,,
19.07.2019 06:00,11.1,748.4,758.8,-0.4,92,"Штиль, безветрие",0,,,70 – 80%., ,,,7.0,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.",10.0,9.8,Осадков нет,12,Поверхность почвы влажная.,9.0,,
19.07.2019 03:00,7.1,748.8,759.4,-0.1,99,"Штиль, безветрие",0,,,50%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,6.9,,,,,,
19.07.2019 00:00,8.5,748.9,759.5,-0.2,98,"Штиль, безветрие",0,,,70 – 80%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,8.2,,,,,,
18.07.2019 21:00,14.4,749.1,759.4,-0.3,70,"Ветер, дующий с севера",1,,,40%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,8.9,,,,,,
18.07.2019 18:00,20.3,749.4,759.5,-0.6,41,"Ветер, дующий с востоко-северо-востока",2,,,"90  или более, но не 100%", ,,,,21.6,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.",10.0,6.7,Осадков нет,12,,,,
18.07.2019 15:00,20.0,750.0,760.1,,47,"Ветер, дующий с северо-северо-востока",1,,,70 – 80%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.",10.0,8.2,,,,,,
18.07.2019 12:00,19.8,750.8,761.0,,45,"Ветер, дующий с северо-северо-востока",2,,,60%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.",10.0,7.6,,,,,,
18.07.2019 09:00,17.3,751.6,761.8,-0.3,53,"Ветер, дующий с северо-северо-востока",2,,,50%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.",10.0,7.7,,,,,,
18.07.2019 06:00,14.4,751.9,762.2,0.0,72,"Ветер, дующий с северо-северо-востока",2,,,40%., ,,,6.9,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,9.3,Осадков нет,12,Поверхность почвы влажная.,8.0,,
18.07.2019 03:00,7.2,751.9,762.5,0.5,99,"Штиль, безветрие",0,,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,7.1,,,,,,
18.07.2019 00:00,8.9,751.4,762.0,-0.1,99,"Штиль, безветрие",0,,,"10%  или менее, но не 0", ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.",10.0,8.7,,,,,,
17.07.2019 21:00,13.3,751.5,761.9,0.4,83,"Штиль, безветрие",0,,,"10%  или менее, но не 0", ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,10.5,,,,,,
17.07.2019 18:00,21.1,751.1,761.2,-0.4,43,"Ветер, дующий с севера",1,,,20–30%., ,,,,25.0,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,8.0,Осадков нет,12,,,,
17.07.2019 15:00,22.3,751.5,761.5,0.1,40,"Ветер, дующий с северо-северо-востока",2,,,50%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,8.1,,,,,,
17.07.2019 12:00,21.8,751.4,761.5,0.3,47,"Ветер, дующий с западо-северо-запада",2,,,50%., ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",40%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,9.8,,,,,,
17.07.2019 09:00,19.8,751.1,761.3,0.5,51,"Ветер, дующий с севера",2,,,40%., ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.",10.0,9.4,,,,,,
17.07.2019 06:00,16.3,750.6,760.9,1.2,74,"Ветер, дующий с северо-северо-запада",1,,,40%., ,,,10.7,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,11.7,Осадков нет,12,Поверхность почвы влажная.,10.0,,
17.07.2019 03:00,11.2,749.4,759.9,1.3,99,"Ветер, дующий с запада",1,,,70 – 80%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,11.0,,,,,,
17.07.2019 00:00,12.3,748.1,758.5,1.3,95,"Ветер, дующий с запада",1,,,100%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,11.5,,,,,,
16.07.2019 21:00,14.6,746.8,757.1,1.4,86,"Ветер, дующий с западо-северо-запада",1,,,100%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,12.2,,,,,,
16.07.2019 18:00,18.0,745.4,755.5,1.1,69,"Ветер, дующий с западо-северо-запада",1,,,100%., ,,,,20.9,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,300-600,Высококучевые башенкообразные или хлопьевидные.,"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.",10.0,12.2,Следы осадков,12,,,,
16.07.2019 15:00,20.2,744.3,754.3,1.4,56,"Ветер, дующий с северо-северо-запада",2,,11,100%., ,,,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.",10.0,11.2,,,,,,
16.07.2019 12:00,19.2,742.9,753.0,0.6,66,"Ветер, дующий с северо-запада",2,,,100%., ,,,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",40%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перисто-слоистые, покрывающие все небо.",10.0,12.6,,,,,,
16.07.2019 09:00,15.1,742.3,752.5,0.3,82,"Ветер, дующий с северо-запада",3,,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.",50%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,12.0,,,,,,
16.07.2019 06:00,12.1,742.0,752.4,-0.8,97,"Ветер, дующий с северо-запада",2,,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Гроза (грозы) с осадками или без них.,Ливень (ливни).,12.1,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,600-1000,Высокослоистые непросвечивающие или слоисто-дождевые.,,4.0,11.7,3.0,12,Поверхность почвы влажная.,13.0,,
16.07.2019 03:00,13.9,742.8,753.1,-0.7,96,"Ветер, дующий с северо-северо-востока",2,,,100%.,"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ",Гроза (грозы) с осадками или без них.,Ливень (ливни).,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,300-600,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,4.0,13.2,,,,,,
16.07.2019 00:00,14.0,743.5,753.8,-2.0,96,"Ветер, дующий с северо-запада",1,,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,300-600,Высокослоистые просвечивающие.,,10.0,13.3,,,,,,
15.07.2019 21:00,17.1,745.5,755.7,-0.1,75,"Ветер, дующий с востока",1,,,100%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",40%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,10.0,12.6,,,,,,
15.07.2019 18:00,21.1,745.6,755.7,-0.5,61,"Ветер, дующий с востоко-северо-востока",1,,,100%., ,,,,22.7,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,1000-1500,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","Перисто-слоистые, покрывающие все небо.",10.0,13.3,Осадков нет,12,,,,
15.07.2019 15:00,21.5,746.1,756.1,-0.7,53,"Ветер, дующий с востоко-северо-востока",2,,,100%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перисто-слоистые, покрывающие все небо.",10.0,11.5,,,,,,
15.07.2019 12:00,22.0,746.8,756.9,-0.9,57,"Ветер, дующий с юго-востока",2,,,100%., ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",50%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.",10.0,13.0,,,,,,
15.07.2019 09:00,21.4,747.7,757.8,-0.2,54,"Ветер, дующий с востока",1,,,100%., ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,11.7,,,,,,
15.07.2019 06:00,17.1,747.9,758.1,0.4,77,"Штиль, безветрие",0,,,70 – 80%., ,,,9.7,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,13.0,Осадков нет,12,Поверхность почвы влажная.,10.0,,
15.07.2019 03:00,9.8,747.5,758.0,0.2,97,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,10.0,9.4,,,,,,
15.07.2019 00:00,11.6,747.3,757.7,0.5,99,"Штиль, безветрие",0,,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,11.5,,,,,,
14.07.2019 21:00,15.7,746.8,757.1,0.3,89,"Штиль, безветрие",0,,,70 – 80%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.",10.0,13.9,,,,,,
14.07.2019 18:00,20.9,746.5,756.7,0.2,55,"Ветер, дующий с северо-северо-востока",1,,,70 – 80%., ,,,,21.3,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.",10.0,11.5,Осадков нет,12,,,,
14.07.2019 15:00,19.9,746.3,756.4,-0.3,62,"Ветер, дующий с северо-северо-востока",1,,,100%., ,,,,,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.",50%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,10.0,12.4,,,,,,
14.07.2019 12:00,18.6,746.6,756.7,-0.1,72,"Ветер, дующий с севера",1,,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",40%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,10.0,13.4,,,,,,
14.07.2019 09:00,18.4,746.7,756.8,-0.4,73,"Ветер, дующий с северо-северо-востока",1,,,"90  или более, но не 100%", ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,600-1000,Высокослоистые просвечивающие.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,13.5,,,,,,
14.07.2019 06:00,15.3,747.1,757.3,0.2,89,"Штиль, безветрие",0,,,"90  или более, но не 100%", ,,,8.3,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,13.4,Осадков нет,12,Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).,11.0,,
14.07.2019 03:00,8.4,746.9,757.4,0.7,97,"Штиль, безветрие",0,,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,8.0,,,,,,
14.07.2019 00:00,10.8,746.2,756.6,0.4,99,"Штиль, безветрие",0,,,20–30%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,10.7,,,,,,
13.07.2019 21:00,14.7,745.8,756.1,0.8,98,"Штиль, безветрие",0,,,70 – 80%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся из кучевых.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,14.4,,,,,,
13.07.2019 18:00,17.2,745.0,755.2,0.0,90,"Ветер, дующий с северо-запада",1,,,70 – 80%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,17.2,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",20–30%.,1000-1500,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,15.6,10.0,12,,,,
13.07.2019 15:00,15.1,745.0,755.2,0.2,97,"Ветер, дующий с юго-юго-востока",1,,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",70 – 80%.,600-1000,Высокослоистые непросвечивающие или слоисто-дождевые.,,4.0,14.7,,,,,,
13.07.2019 12:00,14.6,744.8,755.1,-0.8,99,"Ветер, дующий с севера",1,,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",70 – 80%.,600-1000,Высокослоистые непросвечивающие или слоисто-дождевые.,,4.0,14.4,,,,,,
13.07.2019 09:00,15.2,745.6,755.8,-1.2,90,"Ветер, дующий с севера",1,,,100%., ,,,,,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",20–30%.,1000-1500,Высокослоистые непросвечивающие или слоисто-дождевые.,,10.0,13.5,,,,,,
13.07.2019 06:00,11.8,746.8,757.2,-0.4,99,"Штиль, безветрие",0,,,100%., ,,,8.2,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.",10.0,11.7,Осадков нет,12,Поверхность почвы влажная.,11.0,,
13.07.2019 03:00,8.3,747.2,757.8,0.4,97,"Штиль, безветрие",0,,,40%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.",10.0,7.9,,,,,,
